[L]2023-11-14 16:01:25.274|26_46017362192775169| ERR |DESKTOP-4PAEICH|pool-1-thread-5|common.go|27|ValidateJSON|System|Nil|"Key: 'CreateTagEntry.Description' Error:Field validation for 'Description' failed on the 'required' tag"| 
[L]2023-11-14 16:08:00.724|27_46018025647781889| ERR |DESKTOP-4PAEICH|pool-1-thread-6|tagLogic.go|60|validateTagType|System|Nil|"Invalid Config Type"| 
[L]2023-11-14 16:08:57.987|28_46018121714120705| DBG |DESKTOP-4PAEICH|pool-1-thread-7|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-14 16:08:57.987|29_46018121714186241| DBG |DESKTOP-4PAEICH|pool-1-thread-8|bus.go|96|func1|System|Nil|"call ExitRpcServer args = []"| 
[L]2023-11-14 16:08:57.987|30_46018121730897921| DBG |DESKTOP-4PAEICH|pool-1-thread-9|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-14 16:08:57.990|31_46018121730963457| DBG |DESKTOP-4PAEICH|pool-1-thread-7|bus.go|100|1|System|Nil|"call Quit error, stack frames :
    Error Message: reflect: Call with too many input arguments
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:100 (0x1c1106a)
    C:/Program Files/Go/src/runtime/panic.go:914 (0xb3b11e)
    C:/Program Files/Go/src/reflect/value.go:442 (0xc19d8d)
    C:/Program Files/Go/src/reflect/value.go:380 (0xc17ef8)
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:104 (0x1c10fc4)
    C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0xb6bd20)
"| 
[L]2023-11-14 16:08:57.987|32_46018121731028993| DBG |DESKTOP-4PAEICH|pool-1-thread-10|bus.go|96|func1|System|Nil|"call ExitWebServer args = []"| 
[L]2023-11-14 16:08:57.991|33_46018121731094529| DBG |DESKTOP-4PAEICH|pool-1-thread-9|bus.go|100|1|System|Nil|"call Quit error, stack frames :
    Error Message: reflect: Call with too many input arguments
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:100 (0x1c1106a)
    C:/Program Files/Go/src/runtime/panic.go:914 (0xb3b11e)
    C:/Program Files/Go/src/reflect/value.go:442 (0xc19d8d)
    C:/Program Files/Go/src/reflect/value.go:380 (0xc17ef8)
    C:/Users/92346/Desktop/zixel/asset-library/framework/bus/bus.go:104 (0x1c10fc4)
    C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0xb6bd20)
"| 
[L]2023-11-14 16:08:57.990|34_46018121731160065| DBG |DESKTOP-4PAEICH|pool-1-thread-11|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closeing...]"| 
[L]2023-11-14 16:08:57.995|35_46018121731225601| DBG |DESKTOP-4PAEICH|pool-1-thread-12|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closed.]"| 
[L]2023-11-14 16:08:57.997|36_46018121731291137| DBG |DESKTOP-4PAEICH|pool-1-thread-13|bus.go|96|func1|System|Nil|"call WebServerExited args = []"| 
