[L]2023-11-16 16:01:33.690|24_46307286611671041| ERR |DESKTOP-4PAEICH|pool-1-thread-3|configDao.go|229|QueryConfigByType|System|Nil|"QueryConfigByType is error.err:mongo: no documents in result"| 
[L]2023-11-16 16:01:33.705|25_46307286628448257| ERR |DESKTOP-4PAEICH|pool-1-thread-3|configLogic.go|197|CheckConfig|System|Nil|"CheckConfig>>> param is nil"| 
[L]2023-11-16 16:01:33.706|26_46307286628513793| ERR |DESKTOP-4PAEICH|pool-1-thread-3|errors.go|138|gitlab.zixel.cn/go/framework.NewServiceError|System|Nil|"[errors.go:126] 0x1255785 error code = 1001, message = QueryConfigByType is nil"| 
[L]2023-11-16 16:01:33.708|27_46307286628579329| ERR |DESKTOP-4PAEICH|pool-1-thread-3|errors.go|112|Error|System|Nil|"
---Error Message: QueryConfigByType is nil
---C:/Users/92346/Desktop/zixel/asset-library/framework/errors.go:148 (0x1255b2c)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/AssetRouter.go:27 (0x15dab9a)
---C:/Users/92346/Desktop/zixel/asset-library/src/restful/router/AssetRouter.go:44 (0x15da993)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x78f4ca)
---C:/Users/92346/Desktop/zixel/asset-library/framework/errors.go:42 (0x125d4c9)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x79b379)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/recovery.go:101 (0x79b367)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x78f4ca)
---C:/Users/92346/Desktop/zixel/asset-library/framework/server.go:187 (0x125d2e5)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/context.go:173 (0x79a2ba)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/gin.go:616 (0x799f4d)
---C:/Users/92346/go/pkg/mod/github.com/gin-gonic/gin@v1.8.1/gin.go:572 (0x799a7c)
---C:/Program Files/Go/src/net/http/server.go:2938 (0x55378d)
---C:/Program Files/Go/src/net/http/server.go:2009 (0x54f673)
---C:/Program Files/Go/src/runtime/asm_amd64.s:1650 (0x1abd20)
"| 
[L]2023-11-16 16:01:47.579|28_46307309898446849| DBG |DESKTOP-4PAEICH|pool-1-thread-4|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-16 16:01:47.579|29_46307309898512385| DBG |DESKTOP-4PAEICH|pool-1-thread-5|bus.go|96|func1|System|Nil|"call ExitRpcServer args = []"| 
[L]2023-11-16 16:01:47.579|30_46307309915224065| DBG |DESKTOP-4PAEICH|pool-1-thread-6|bus.go|96|func1|System|Nil|"call Quit args = [interrupt]"| 
[L]2023-11-16 16:01:47.579|31_46307309915289601| DBG |DESKTOP-4PAEICH|pool-1-thread-7|bus.go|96|func1|System|Nil|"call ExitWebServer args = []"| 
[L]2023-11-16 16:01:47.581|32_46307309915355137| DBG |DESKTOP-4PAEICH|pool-1-thread-8|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closeing...]"| 
[L]2023-11-16 16:01:47.581|33_46307309915420673| WAR |DESKTOP-4PAEICH|pool-1-thread-9|bus.go|85|Publish|System|Nil|"not found handlers in topic:RpcServerExited"| 
[L]2023-11-16 16:01:47.581|34_46307309915486209| DBG |DESKTOP-4PAEICH|pool-1-thread-10|bus.go|96|func1|System|Nil|"call log.info args = [grpc server is closed.]"| 
